Id,Name,Latitude,Longitude,Code,GmCode,Province,ProvinceId,ProvinceCode
1108,Eersel,NULL,NULL,0770,GM0770,Noord-Brabant,30,PV30
1109,Eijsden-Margraten,NULL,NULL,1903,GM1903,Limburg,31,PV31
1110,Eindhoven,NULL,NULL,0772,GM0772,Noord-Brabant,30,PV30
1111,Elburg,NULL,NULL,0230,GM0230,Gelderland,25,PV25
1112,Emmen,NULL,NULL,0114,GM0114,Drenthe,22,PV22
1113,Enkhuizen,NULL,NULL,0388,GM0388,Noord-Holland,27,PV27
1114,Enschede,NULL,NULL,0153,GM0153,Overijssel,23,PV23
1115,Epe,NULL,NULL,0232,GM0232,Gelderland,25,PV25
1116,Ermelo,NULL,NULL,0233,GM0233,Gelderland,25,PV25
1117,Etten-Leur,NULL,NULL,0777,GM0777,Noord-Brabant,30,PV30
1118,De Fryske Marren,NULL,NULL,1940,GM1940,Friesland,21,PV21
1119,Geertruidenberg,NULL,NULL,0779,GM0779,Noord-Brabant,30,PV30
1120,Geldrop-Mierlo,NULL,NULL,1771,GM1771,Noord-Brabant,30,PV30
1121,Gemert-Bakel,NULL,NULL,1652,GM1652,Noord-Brabant,30,PV30
1122,Gennep,NULL,NULL,0907,GM0907,Limburg,31,PV31
1123,Gilze en Rijen,NULL,NULL,0784,GM0784,Noord-Brabant,30,PV30
1124,Goeree-Overflakkee,NULL,NULL,1924,GM1924,Zuid-Holland,28,PV28
1125,Goes,NULL,NULL,0664,GM0664,Zeeland,29,PV29
1126,Goirle,NULL,NULL,0785,GM0785,Noord-Brabant,30,PV30
1127,Gooise Meren,NULL,NULL,1942,GM1942,Noord-Holland,27,PV27
1128,Gorinchem,NULL,NULL,0512,GM0512,Zuid-Holland,28,PV28
1129,Gouda,NULL,NULL,0513,GM0513,Zuid-Holland,28,PV28
1130,'s-Gravenhage,NULL,NULL,0518,GM0518,Zuid-Holland,28,PV28
1131,Groningen,NULL,NULL,0014,GM0014,Groningen,20,PV20
1132,Gulpen-Wittem,NULL,NULL,1729,GM1729,Limburg,31,PV31
1133,Haaksbergen,NULL,NULL,0158,GM0158,Overijssel,23,PV23
1134,Haarlem,NULL,NULL,0392,GM0392,Noord-Holland,27,PV27
1135,Haarlemmermeer,NULL,NULL,0394,GM0394,Noord-Holland,27,PV27
1136,Halderberge,NULL,NULL,1655,GM1655,Noord-Brabant,30,PV30
1137,Hardenberg,NULL,NULL,0160,GM0160,Overijssel,23,PV23
1138,Harderwijk,NULL,NULL,0243,GM0243,Gelderland,25,PV25
1139,Hardinxveld-Giessendam,NULL,NULL,0523,GM0523,Zuid-Holland,28,PV28
1140,Harlingen,NULL,NULL,0072,GM0072,Friesland,21,PV21
1141,Hattem,NULL,NULL,0244,GM0244,Gelderland,25,PV25
1142,Heemskerk,NULL,NULL,0396,GM0396,Noord-Holland,27,PV27
1143,Heemstede,NULL,NULL,0397,GM0397,Noord-Holland,27,PV27
1144,Heerde,NULL,NULL,0246,GM0246,Gelderland,25,PV25
1145,Heerenveen,NULL,NULL,0074,GM0074,Friesland,21,PV21
1146,Heerlen,NULL,NULL,0917,GM0917,Limburg,31,PV31
1147,Heeze-Leende,NULL,NULL,1658,GM1658,Noord-Brabant,30,PV30
1148,Heiloo,NULL,NULL,0399,GM0399,Noord-Holland,27,PV27
1149,Den Helder,NULL,NULL,0400,GM0400,Noord-Holland,27,PV27
1150,Hellendoorn,NULL,NULL,0163,GM0163,Overijssel,23,PV23
1151,Helmond,NULL,NULL,0794,GM0794,Noord-Brabant,30,PV30
1152,Hendrik-Ido-Ambacht,NULL,NULL,0531,GM0531,Zuid-Holland,28,PV28
1153,Hengelo (O.),NULL,NULL,0164,GM0164,Overijssel,23,PV23
1154,'s-Hertogenbosch,NULL,NULL,0796,GM0796,Noord-Brabant,30,PV30
1155,Heumen,NULL,NULL,0252,GM0252,Gelderland,25,PV25
1156,Heusden,NULL,NULL,0797,GM0797,Noord-Brabant,30,PV30
1157,Hillegom,NULL,NULL,0534,GM0534,Zuid-Holland,28,PV28
1158,Hilvarenbeek,NULL,NULL,0798,GM0798,Noord-Brabant,30,PV30
1159,Hilversum,NULL,NULL,0402,GM0402,Noord-Holland,27,PV27
1160,Hoeksche Waard,NULL,NULL,1963,GM1963,Zuid-Holland,28,PV28
1161,Hof van Twente,NULL,NULL,1735,GM1735,Overijssel,23,PV23
1162,Het Hogeland,NULL,NULL,1966,GM1966,Groningen,20,PV20
1163,Hollands Kroon,NULL,NULL,1911,GM1911,Noord-Holland,27,PV27
1164,Hoogeveen,NULL,NULL,0118,GM0118,Drenthe,22,PV22
1165,Hoorn,NULL,NULL,0405,GM0405,Noord-Holland,27,PV27
1166,Horst aan de Maas,NULL,NULL,1507,GM1507,Limburg,31,PV31
1167,Houten,NULL,NULL,0321,GM0321,Utrecht,26,PV26
1168,Huizen,NULL,NULL,0406,GM0406,Noord-Holland,27,PV27
1169,Hulst,NULL,NULL,0677,GM0677,Zeeland,29,PV29
1170,IJsselstein,NULL,NULL,0353,GM0353,Utrecht,26,PV26
1171,Kaag en Braassem,NULL,NULL,1884,GM1884,Zuid-Holland,28,PV28
1172,Kampen,NULL,NULL,0166,GM0166,Overijssel,23,PV23
1173,Kapelle,NULL,NULL,0678,GM0678,Zeeland,29,PV29
1174,Katwijk,NULL,NULL,0537,GM0537,Zuid-Holland,28,PV28
1175,Kerkrade,NULL,NULL,0928,GM0928,Limburg,31,PV31
1176,Koggenland,NULL,NULL,1598,GM1598,Noord-Holland,27,PV27
1177,Krimpen aan den IJssel,NULL,NULL,0542,GM0542,Zuid-Holland,28,PV28
1178,Krimpenerwaard,NULL,NULL,1931,GM1931,Zuid-Holland,28,PV28
1179,Laarbeek,NULL,NULL,1659,GM1659,Noord-Brabant,30,PV30
1180,Land van Cuijk,NULL,NULL,1982,GM1982,Noord-Brabant,30,PV30
1181,Landgraaf,NULL,NULL,0882,GM0882,Limburg,31,PV31
1182,Landsmeer,NULL,NULL,0415,GM0415,Noord-Holland,27,PV27
1183,Lansingerland,NULL,NULL,1621,GM1621,Zuid-Holland,28,PV28
1184,Laren (NH.),NULL,NULL,0417,GM0417,Noord-Holland,27,PV27
1185,Leeuwarden,NULL,NULL,0080,GM0080,Friesland,21,PV21
1186,Leiden,NULL,NULL,0546,GM0546,Zuid-Holland,28,PV28
1187,Leiderdorp,NULL,NULL,0547,GM0547,Zuid-Holland,28,PV28
1188,Leidschendam-Voorburg,NULL,NULL,1916,GM1916,Zuid-Holland,28,PV28
1189,Lelystad,NULL,NULL,0995,GM0995,Flevoland,24,PV24
1190,Leudal,NULL,NULL,1640,GM1640,Limburg,31,PV31
